Product Name,SKU,Description,Price,Product URL,Image URL
PC Portable HP 15-fd0298nk Intel N100 4Go 256Go SSD - Noir,[A30XQEA],"Écran 15.6"" HD - Processeur: Intel® N100 (Up to 3,40 GHz Turbo max, 6 Mo de mémoire cache, Quad-Core) - Système d'exploitation: FreeDos - Mémoire: 4 Go DDR4-3200 MHz - Disque dur: 256 Go SSD - Carte graphique: Intel UHD Graphics, avec Wi-Fi, Bluetooth, 1x USB Type-C, 2x USB Type-A, 1x HDMI 1.4b, 1x prise combinée casque/microphone, 1x prise adaptateur secteur Smart Pin - Clavier noir profond, de grande taille avec pavé numérique - Couleur: Noir - Garantie: 1 an","705,000 DT",https://www.mytek.tn/pc-portable-hp-15-fd0298nk-intel-n100-4go-256go-ssd-noir.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-hp-15-fd0298nk-intel-n100-4go-256go-ssd-noir.jpg
PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD - Gris,[82LX00CFFG],"Écran 15.6"" HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 8  Go DDR4 - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation - Couleur: Gris - Garantie: 1 an","709,000 DT",https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256go-ssd-gris.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256go-ssd-gris.jpg
PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD - Bleu,[82LX00CKFG],"Écran 15.6"" HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 8  Go DDR4-2933 - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation - Couleur: Bleu - Garantie: 1 an","709,000 DT",https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256go-ssd-bleu.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256go-ssd-bleu.jpg
PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8G 256G SSD - Gris,[BU-82LX00CFFG-SAC],"Écran 15.6"" HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 8  Go DDR4 - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation - Couleur: Gris - Garantie: 1 an","719,000 DT",https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256gossd-gris.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256gossd-gris_1.jpg
PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8G 256G SSD - Bleu,[BU-82LX00CKFG-SAC],"Écran 15.6"" HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 8  Go DDR4-2933 - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation - Couleur: Bleu - Garantie: 1 an","719,000 DT",https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8g-256g-ssd-bleu.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8g-256g-ssd-bleu.png
PC Portable ASUS X515KA Intel Celeron N4500 4Go 256Go SSD - Silver,[X515KA-EJ008],"Écran 15.6"" Full HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 4 Go - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD Graphics avec Wifi, Bluetooth, 1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A, 1x HDMI 1.4, 1x prise audio combinée 3,5 mm, 1x Entrée CC - Clavier chiclet - Couleur: Silver - Garantie: 1 an","719,000 DT",https://www.mytek.tn/pc-portable-asus-x515ka-intel-celeron-n4500-4go-256go-ssd-silver.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-asus-x515ka-intel-celeron-n4500-4go-256go-ssd-silver.jpg
PC Portable LENOVO V15 G2 IJL Intel Celeron N4500 8Go 256Go SSD - Noir,[82QY00PEFE],"Écran 15.6"" Full HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go DDR4 - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm), 1x connecteur d'alimentation - Couleur: Noir - Garantie: 1 an","719,000 DT",https://www.mytek.tn/pc-portable-lenovo-v15-g2-ijl-intel-celeron-n4500-8go-256go-ssd-noir.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-v15-g2-ijl-intel-celeron-n4500-8go-256go-ssd-noir.jpg
PC Portable ASUS X515KA Intel Celeron N4500 8Go 256Go SSD - Silver,[X515KA-EJ008-8G],"Écran 15.6"" Full HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD Graphics avec Wifi, Bluetooth, 1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A, 1x HDMI 1.4, 1x prise audio combinée 3,5 mm, 1x Entrée CC - Clavier chiclet - Couleur: Silver - Garantie: 1 an","739,000 DT",https://www.mytek.tn/pc-portable-asus-x515ka-intel-celeron-n4500-8go-256go-ssd-silver.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-asus-x515ka-intel-celeron-n4500-8go-256go-ssd-silver.jpg
PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8G 256Go SSD - Bleu,[82LX00CDFG],"Écran 15.6"" HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 8  Go DDR4-2933 - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation - Couleur: Bleu - Garantie: 1 an","749,000 DT",https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8g-256go-ssd-bleu.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8g-256go-ssd-bleu.jpg
PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8G 256Go SSD - Gris,[82LX00CEFG],"Écran 15.6"" HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 8  Go DDR4 - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation - Couleur: Gris - Garantie: 1 an","749,000 DT",https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8g-256go-ssd-gris.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8g-256go-ssd-gris.jpg
PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8 Go 256Go SSD - Gris,[BU-82LX00CEFG-SAC],"Écran 15.6"" HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 8  Go DDR4 - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation - Couleur: Gris - Garantie: 1 an","759,000 DT",https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8-go-256go-ssd-gris.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8-go-256go-ssd-gris-8.jpg
PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256G SSD,[BU-82LX00CDFG-SAC],"Écran 15.6"" HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 8  Go DDR4-2933 - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation - Couleur: Bleu - Garantie: 1 an","759,000 DT",https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256g-ssd.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256g-ssd.jpg
PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256G SSD - Gris,[BU-82LX00CFFG-W11P],"Écran 15.6"" HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: Windows 11 Pro - Mémoire RAM: 8  Go DDR4 - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation - Couleur: Gris - Garantie: 1 an","769,000 DT",https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256g-ssd-gris.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256g-ssd-gris.jpg
PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256G SSD - Bleu,[BU-82LX00CKFG-W11P],"Écran 15.6"" HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: Windows 11 Pro - Mémoire RAM: 8  Go DDR4-2933 - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation - Couleur: Bleu - Garantie: 1 an","769,000 DT",https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256g-ssd-bleu.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256g-ssd-bleu.jpg
PC Portable LENOVO V15 G2 IJL Intel Celeron N4500 16G 256Go SSD - Noir,[82QY00PEFE-16G],"Écran 15.6"" Full HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go DDR4 - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x RJ-45, 1x prise combinée casque / microphone (3,5 mm), 1x connecteur d'alimentation - Couleur: Noir - Garantie: 1 an","775,000 DT",https://www.mytek.tn/pc-portable-lenovo-v15-g2-ijl-intel-celeron-n4500-16g-256go-ssd-noir.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-v15-g2-ijl-intel-celeron-n4500-16g-256go-ssd-noir.jpg
PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8G 256G SSD - Gris,[BU-82LX00CFFG-W11P-SAC],"Écran 15.6"" HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: Windows 11 Pro - Mémoire RAM: 8  Go DDR4 - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation - Couleur: Gris - Garantie: 1 an","779,000 DT",https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8g-256g-ssd-gris.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8g-256g-ssd-gris.jpg
PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD,[BU-82LX00CKFG-W11P-SAC],"Écran 15.6"" HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: Windows 11 Pro - Mémoire RAM: 8  Go DDR4-2933 - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation - Couleur: Bleu - Garantie: 1 an","779,000 DT",https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256go-ssd.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256go-ssd.png
PC Portable ASUS X515KA Intel Celeron N4500 4Go 256G SSD - Silver,[BU-X515KA-EJ008-W11P],"Écran 15.6"" Full HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: Windows 11 Pro - Mémoire RAM: 4 Go - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD Graphics avec Wifi, Bluetooth, 1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A, 1x HDMI 1.4, 1x prise audio combinée 3,5 mm, 1x Entrée CC - Clavier chiclet - Couleur: Silver - Garantie: 1 an","779,000 DT",https://www.mytek.tn/pc-portable-asus-x515ka-intel-celeron-n4500-4go-256g-ssd-silver.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-asus-x515ka-intel-celeron-n4500-4go-256g-ssd-silver.jpg
PC Portable LENOVO V15 G2 IJL Intel Celeron N4500 8G 256Go SSD - Noir,[BU-82QY00PEFE-W11P],"Écran 15.6"" Full HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: Windows 11 Pro - Mémoire RAM: 8 Go DDR4 - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm), 1x connecteur d'alimentation - Couleur: Noir - Garantie: 1 an","779,000 DT",https://www.mytek.tn/pc-portable-lenovo-v15-g2-ijl-intel-celeron-n4500-8g-256go-ssd-noir.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-v15-g2-ijl-intel-celeron-n4500-8g-256go-ssd-noir.jpg
PC Portable ASUS X515KA Intel Celeron N4500 16Go 256Go SSD - Silver,[X515KA-EJ008-16G],"Écran 15.6"" Full HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD Graphics avec Wifi, Bluetooth, 1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A, 1x HDMI 1.4, 1x prise audio combinée 3,5 mm, 1x Entrée CC - Clavier chiclet - Couleur: Silver - Garantie: 1 an","785,000 DT",https://www.mytek.tn/pc-portable-asus-x515ka-intel-celeron-n4500-16go-256go-ssd-silver.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-asus-x515ka-intel-celeron-n4500-16go-256go-ssd-silver.jpg
PC Portable ASUS X515KA Intel Celeron N4500 8G 256Go SSD - Silver,[BU-X515KA-EJ008-8G-W11P],"Écran 15.6"" Full HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: Windows 11 Pro - Mémoire RAM: 8 Go - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD Graphics avec Wifi, Bluetooth, 1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A, 1x HDMI 1.4, 1x prise audio combinée 3,5 mm, 1x Entrée CC - Clavier chiclet - Couleur: Silver - Garantie: 1 an.","799,000 DT",https://www.mytek.tn/pc-portable-asus-x515ka-intel-celeron-n4500-8g-256go-ssd-silver.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-asus-x515ka-intel-celeron-n4500-8g-256go-ssd-silver.jpg
PC Portable LENOVO IdeaPad 1 15AMN7 AMD Athlon 8Go 512Go SSD - Gris,[82VG00Q6FG],"Ecran 15.6"" HD - Processeur: AMD Athlon Silver 7120U (2,4 GHz up to 3.5 GHz Turbo max, L2: 1 Mo / L3: 2 Mo de mémoire cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 8Go LPDDR5-5500 soudée - Disque Dur: 512Go SSD - Carte Graphique: AMD Radeon™ 610M intégrée avec Wifi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation - Couleur: Gris - Garantie: 2 ans","809,000 DT",https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15amn7-amd-athlon-8go-512go-ssd-gris.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15amn7-amd-athlon-8go-512go-ssd-gris.jpg
PC Portable LENOVO V15 G2 IJL Intel Celeron N4500 16G 256G SSD - Noir,[BU-82QY00PEFE-16G-W11P],"Écran 15.6"" Full HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: Windows 11 Pro - Mémoire RAM: 16 Go DDR4 - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x RJ-45, 1x prise combinée casque / microphone (3,5 mm), 1x connecteur d'alimentation - Couleur: Noir - Garantie: 1 an","835,000 DT",https://www.mytek.tn/pc-portable-lenovo-v15-g2-ijl-intel-celeron-n4500-16g-256g-ssd-noir.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-v15-g2-ijl-intel-celeron-n4500-16g-256g-ssd-noir.jpg
PC Portable ASUS X515KA Intel Celeron N4500 16G 256Go SSD - Silver,[BU-X515KA-EJ008-16G-W11P],"Écran 15.6"" Full HD - Processeur: Intel Celeron N4500 (1.10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: Windows 11 Pro - Mémoire RAM: 16 Go - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD Graphics avec Wifi, Bluetooth, 1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A, 1x HDMI 1.4, 1x prise audio combinée 3,5 mm, 1x Entrée CC - Clavier chiclet - Couleur: Silver - Garantie: 1 an","845,000 DT",https://www.mytek.tn/pc-portable-asus-x515ka-intel-celeron-n4500-16g-256go-ssd-silver.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-asus-x515ka-intel-celeron-n4500-16g-256go-ssd-silver.jpg
PC Portable LENOVO IdeaPad 1 15AMN7 AMD Athlon 8G 512Go SSD - Gris,[BU-82VG00Q6FG-W11P],"Ecran 15.6"" HD - Processeur: AMD Athlon Silver 7120U (2,4 GHz up to 3.5 GHz Turbo max, L2: 1 Mo / L3: 2 Mo de mémoire cache, Dual-Core) - Système d'exploitation: Windows 11 Pro - Mémoire RAM: 8Go LPDDR5-5500 soudée - Disque Dur: 512Go SSD - Carte Graphique: AMD Radeon™ 610M intégrée avec Wifi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation - Couleur: Gris - Garantie: 2 ans","869,000 DT",https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15amn7-amd-athlon-8g-512go-ssd-gris.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15amn7-amd-athlon-8g-512go-ssd-gris.jpg
